Family,Accuracy Mean,Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
verblecon,0.9563333333333333,0.018882678717691385,0.958474947466683,0.01739425669743814,0.9207990199979843,0.03221996556222528,1.0,0.0,0.08733333333333335,0.03776535743538279,1.0,0.0,0.027276022672653156,0.0005695954045079966
bigviktor,0.511,0.03058866892603644,0.18101243811625198,0.06512713529527157,0.5539069264069264,0.16560957323392794,0.10933333333333335,0.04186751591495356,0.08733333333333335,0.03776535743538279,0.10933333333333335,0.04186751591495356,0.0274590998490651,0.0007581391940910591
goz,0.9563333333333333,0.018882678717691385,0.958474947466683,0.01739425669743814,0.9207990199979843,0.03221996556222528,1.0,0.0,0.08733333333333335,0.03776535743538279,1.0,0.0,0.02743172597885127,0.0004198216037662885
new_goz,0.9563333333333333,0.018882678717691385,0.958474947466683,0.01739425669743814,0.9207990199979843,0.03221996556222528,1.0,0.0,0.08733333333333335,0.03776535743538279,1.0,0.0,0.02751347668965653,0.0005598617934325599
ccleaner,0.9006666666666666,0.02931817790306137,0.8993984493415823,0.02987266782100909,0.9115222015317669,0.036497993498309095,0.8886666666666667,0.037835902996433905,0.08733333333333335,0.03776535743538279,0.8886666666666667,0.037835902996433905,0.027580869674682575,0.0005858082085528413
enviserv,0.9186666666666669,0.024184476196289394,0.9191461999955325,0.02381061293101805,0.9150271605462084,0.03426739169778872,0.9246666666666667,0.034903040300555785,0.08733333333333335,0.03776535743538279,0.9246666666666667,0.034903040300555785,0.02746415106455481,0.0004991205163055033
xshellghost,0.9326666666666668,0.02393509742802163,0.9340699696629451,0.023270475826958962,0.9171910843142265,0.03357675685370896,0.9526666666666669,0.030324174441451083,0.08733333333333335,0.03776535743538279,0.9526666666666669,0.030324174441451083,0.027376062313715567,0.00044349697264600094
bazarbackdoor,0.731,0.09596353474106716,0.653397660156238,0.155720713328498,0.8533637275274676,0.07174341615456133,0.5493333333333333,0.19174520130168113,0.08733333333333335,0.03776535743538279,0.5493333333333333,0.19174520130168113,0.027634957869847574,0.0007673018928373225
pizd,0.6983333333333335,0.04058598553961973,0.6130164680096752,0.06749886905339936,0.849000413649086,0.06072665891521512,0.48400000000000004,0.07648965071607183,0.08733333333333335,0.03776535743538279,0.48400000000000004,0.07648965071607183,0.027522339026133175,0.0003105830626674029
bumblebee,0.8986666666666666,0.029522119767312713,0.8968876374936843,0.03130350834515793,0.9113976272597033,0.03561024850649812,0.8846666666666668,0.04807863928560745,0.08733333333333335,0.03776535743538279,0.8846666666666668,0.04807863928560745,0.02751002955436702,0.00040558963091697934
dmsniff,0.8396666666666668,0.08871239422363082,0.8155854530360678,0.11841117709657269,0.8965026194793455,0.047334678712286866,0.7666666666666665,0.1798765008430939,0.08733333333333335,0.03776535743538279,0.7666666666666665,0.1798765008430939,0.027751131455103505,0.0009195685894875949
sharkbot,0.9563333333333333,0.018882678717691385,0.958474947466683,0.01739425669743814,0.9207990199979843,0.03221996556222528,1.0,0.0,0.08733333333333335,0.03776535743538279,1.0,0.0,0.027584349950154578,0.0003742669929191911
ngioweb,0.6099999999999999,0.037771241264574124,0.43849960645069463,0.0688139757378,0.7792207912972149,0.08719691773675045,0.3073333333333333,0.05921336185543109,0.08733333333333335,0.03776535743538279,0.3073333333333333,0.05921336185543109,0.027514342069625813,0.0003282977993521816
tufik,0.956,0.018903262505010426,0.958138875771388,0.017429183189926638,0.9207524325300133,0.03221352857220941,0.9993333333333333,0.003590109871423007,0.08733333333333335,0.03776535743538279,0.9993333333333333,0.003590109871423007,0.027614244778950973,0.0005211615540543073
