Family,Accuracy Mean,Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
alureon,0.955,0.01910497317454279,0.956764924408948,0.01761516611418601,0.9262685798891738,0.030563360925956864,0.99,0.013416407864998751,0.08000000000000002,0.03614784456460256,0.99,0.013416407864998751,0.23070863676071166,0.06807380427781703
bamital,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15834158166249587,0.12202747492518692
banjori,0.9503333333333333,0.019576062480034684,0.9520144136725891,0.01817336674305997,0.9256258788020008,0.030707555642474568,0.9806666666666668,0.01671991493864595,0.08000000000000002,0.03614784456460256,0.9806666666666668,0.01671991493864595,0.25075649205843603,0.05621807111206867
bedep,0.9593333333333333,0.018061622912192078,0.9611523541675352,0.016491036233374813,0.9268538773819416,0.030216814575600492,0.9986666666666667,0.004988876515698592,0.08000000000000002,0.03614784456460256,0.9986666666666667,0.004988876515698592,0.1754793336391449,0.10948931494656754
charbot,0.7886666666666666,0.03461534662865911,0.7558488958911798,0.04397152345236819,0.8926132859081435,0.04428722413625384,0.6573333333333333,0.054585305307889916,0.08000000000000002,0.03614784456460256,0.6573333333333333,0.054585305307889916,0.2606032863457997,0.06404738859518304
chinad,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.1600552868843078,0.1204139129963066
conficker,0.8846666666666667,0.02952211976731272,0.8799146377491595,0.03211781964542339,0.9152546631305248,0.03423908350432622,0.8493333333333333,0.05208539995899896,0.08000000000000002,0.03614784456460256,0.8493333333333333,0.05208539995899896,0.24872912526130678,0.06348486454035863
corebot,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15552101286252334,0.11968201244892263
cryptolocker,0.9593333333333333,0.017876116903722553,0.9611521101067543,0.016299686406262746,0.9268641803796661,0.030195086346997805,0.9986666666666667,0.004988876515698592,0.08000000000000002,0.03614784456460256,0.9986666666666667,0.004988876515698592,0.19166787719726558,0.09638424230967343
deception,0.9533333333333334,0.01903213656482692,0.9550705211995832,0.017628060406035713,0.9260473358039746,0.030473077366361682,0.9866666666666667,0.01490711984999861,0.08000000000000002,0.03614784456460256,0.9866666666666667,0.01490711984999861,0.2983005421161652,0.07620260533162078
dircrypt,0.9586666666666666,0.017461067804945052,0.9604795126250294,0.015874661548454874,0.9268061379712721,0.030197196435956333,0.9973333333333334,0.006798692684790386,0.08000000000000002,0.03614784456460256,0.9973333333333334,0.006798692684790386,0.19016464296976723,0.10299769419774685
dnschanger,0.9543333333333331,0.020278614899006828,0.9560876598568171,0.018843397117748354,0.9261104102611559,0.030679345700579282,0.9886666666666667,0.014313940369055938,0.08000000000000002,0.03614784456460256,0.9886666666666667,0.014313940369055938,0.22540862496693928,0.066447924142528
dyre,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15487202962239582,0.11928983766310473
emotet,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.1648292875289917,0.1117909937569399
fobber,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15903225453694653,0.11629775380683469
gameover,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15510558350880935,0.119510294175728
gozi,0.893,0.033281626562814914,0.8896542773163438,0.03556725979041845,0.916198183615105,0.03677328689042555,0.866,0.04903060268852506,0.08000000000000002,0.03614784456460256,0.866,0.04903060268852506,0.21224851202964784,0.08477505530332895
kraken,0.9560000000000001,0.018366636418607862,0.9577923360326595,0.016832424215821134,0.9264122862893295,0.030404576810861984,0.9920000000000002,0.00979795897113272,0.08000000000000002,0.03614784456460256,0.9920000000000002,0.00979795897113272,0.18573352090517678,0.10265566203584127
locky,0.951,0.020058248511107157,0.9526940634859221,0.018650937373798675,0.92569308134203,0.030833239847525097,0.9820000000000001,0.016613247725836163,0.08000000000000002,0.03614784456460256,0.9820000000000001,0.016613247725836163,0.20425707840919496,0.09392021282639153
manuelita,0.5216666666666667,0.028411656449813392,0.20274531849142777,0.06611987515213244,0.6038082750582751,0.13852852983853092,0.12333333333333335,0.04414622168304881,0.08000000000000002,0.03614784456460256,0.12333333333333335,0.04414622168304881,0.2705196528434753,0.06900187510956708
matsnu,0.6346666666666665,0.03537733109712428,0.48619685367820276,0.06577091125459801,0.8162599044215681,0.06825850461945127,0.3493333333333333,0.0621253213718493,0.08000000000000002,0.03614784456460256,0.3493333333333333,0.0621253213718493,0.24802923480669659,0.0580826002172226
monerominer,0.9596666666666666,0.018526257642120323,0.961489311849514,0.016945349927694486,0.9268718142552245,0.030308523699596204,0.9993333333333333,0.0035901098714230064,0.08000000000000002,0.03614784456460256,0.9993333333333333,0.0035901098714230064,0.17714966988563535,0.10605441613110773
murofet,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.16978938682874042,0.10850785232682596
murofetweekly,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15486220367749529,0.11903514508550046
mydoom,0.954,0.02169485346036396,0.9557057869706908,0.020440411009514596,0.9260310248567787,0.03078675323774173,0.988,0.019731531449264993,0.08000000000000002,0.03614784456460256,0.988,0.019731531449264993,0.23594741082191467,0.06085005691153697
necurs,0.9496666666666663,0.036467641668867054,0.9505394314044172,0.03853343516039726,0.9249256143953398,0.03211100344783107,0.9793333333333334,0.05691709370264398,0.08000000000000002,0.03614784456460256,0.9793333333333334,0.05691709370264398,0.19301980129877727,0.10207377744949983
nymaim,0.7403333333333333,0.02869184940400711,0.6818181355786944,0.045678528977077894,0.8779805244367355,0.044253829278185136,0.5606666666666666,0.060107311442859336,0.08000000000000002,0.03614784456460256,0.5606666666666666,0.060107311442859336,0.27390304970741275,0.057033364130206626
oderoor,0.9536666666666668,0.017792008193443346,0.9554041949847558,0.016433233941311937,0.9261502243667828,0.030126505000938695,0.9873333333333334,0.01504068556357132,0.08000000000000002,0.03614784456460256,0.9873333333333334,0.01504068556357132,0.2349223773479462,0.06726333344401694
padcrypt,0.958,0.018147543451754924,0.9598087089897392,0.01655825514260503,0.9266909554446344,0.030380499518285392,0.9960000000000001,0.008000000000000007,0.08000000000000002,0.03614784456460256,0.9960000000000001,0.008000000000000007,0.1767694464524587,0.10213049576953531
pitou,0.9033333333333334,0.06073622386096199,0.89809295032158,0.0683418589854717,0.9171790758572522,0.03410987038913192,0.8866666666666667,0.11562391140628692,0.08000000000000002,0.03614784456460256,0.8866666666666667,0.11562391140628692,0.25791554371515907,0.052198565895503285
proslikefan,0.9433333333333335,0.02399073895392876,0.9447497529513458,0.022971540744311857,0.924476316019415,0.031607607975264594,0.9666666666666668,0.025991451586157246,0.08000000000000002,0.03614784456460256,0.9666666666666668,0.025991451586157246,0.24925738390286764,0.05940117434885813
pushdo,0.9163333333333334,0.02626573602412254,0.9160249218718453,0.02620617186707119,0.9203518202706049,0.03300297700154912,0.9126666666666667,0.033259919155377106,0.08000000000000002,0.03614784456460256,0.9126666666666667,0.033259919155377106,0.2213967336813609,0.07090538376897194
pykspa,0.9443333333333332,0.02445176658012439,0.9457378701282294,0.02348852731302166,0.9246471799626274,0.031661001264508014,0.9686666666666669,0.02906697247545553,0.08000000000000002,0.03614784456460256,0.9686666666666669,0.02906697247545553,0.23704736995697023,0.06881583299429939
qadars,0.9576666666666666,0.01782943882708843,0.9594714728912563,0.016291948914288208,0.9266549506458339,0.030205135567070225,0.9953333333333334,0.008459051693633021,0.08000000000000002,0.03614784456460256,0.9953333333333334,0.008459051693633021,0.18659347724914557,0.09579149502999472
qakbot,0.9593333333333333,0.017688665548562122,0.9611520362602448,0.01609381241843356,0.9268770899567635,0.030212939955986933,0.9986666666666667,0.004988876515698592,0.08000000000000002,0.03614784456460256,0.9986666666666667,0.004988876515698592,0.1792653443813324,0.1086448835542347
qsnatch,0.583,0.032264531609803346,0.3689187212387893,0.0661203225951328,0.756546263906945,0.1005345675775643,0.246,0.0508985919910037,0.08000000000000002,0.03614784456460256,0.246,0.0508985919910037,0.27718884070714317,0.06089025134329548
ramdo,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.16996073293685912,0.10784017468663984
ramnit,0.9560000000000001,0.0181842422626478,0.9577850686411303,0.01667111875130589,0.9264296240874837,0.030333561806302263,0.9920000000000001,0.011075498483890778,0.08000000000000002,0.03614784456460256,0.9920000000000001,0.011075498483890778,0.19429913592338563,0.09850793279490183
ranbyus,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15993772904078163,0.11559907472737216
rovnix,0.889,0.02712317582191782,0.8852176699021057,0.0287492709390449,0.9159062604185023,0.034139974987795606,0.858,0.04206344414492629,0.08000000000000002,0.03614784456460256,0.858,0.04206344414492629,0.2269407184123993,0.07203612175966022
shiotob,0.9583333333333333,0.01916304313573974,0.9601460846018404,0.0176001502151865,0.9266730344156077,0.030454522198709897,0.9966666666666667,0.007453559924999306,0.08000000000000002,0.03614784456460256,0.9966666666666667,0.007453559924999306,0.1834360832373301,0.10021998012115342
simda,0.9566666666666668,0.019032136564826923,0.9584649712845016,0.017533275087036566,0.9264569869196755,0.030385060946933124,0.9933333333333335,0.009428090415820642,0.08000000000000002,0.03614784456460256,0.9933333333333335,0.009428090415820642,0.23865916554133101,0.06007566505718393
sisron,0.9593333333333333,0.017499206331208904,0.9611517921994639,0.01589768218629919,0.9268873929544879,0.030191201017387353,0.9986666666666667,0.004988876515698592,0.08000000000000002,0.03614784456460256,0.9986666666666667,0.004988876515698592,0.20464898093541464,0.07829485733162081
sphinx,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.16542697811126705,0.11155550368428951
suppobox,0.9253333333333332,0.04006106450019629,0.9239605127815055,0.04725965859593257,0.9221665392652411,0.030852326493010267,0.9306666666666666,0.08258060035841079,0.08000000000000002,0.03614784456460256,0.9306666666666666,0.08258060035841079,0.23505682055155439,0.061671743407077255
symmi,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.1795946161746979,0.10297403916582878
tempedreve,0.956,0.018547236990991405,0.9577710482540129,0.017139076565230237,0.9264150477718209,0.030187504116570157,0.9919999999999999,0.01326649916142161,0.08000000000000002,0.03614784456460256,0.9919999999999999,0.01326649916142161,0.22604941487312316,0.06682370044155167
tinba,0.9570000000000001,0.01864582169459599,0.9588008641098836,0.017107047496660338,0.9265287542088114,0.030400787397772088,0.994,0.009165151389911688,0.08000000000000002,0.03614784456460256,0.994,0.009165151389911688,0.20289959255854287,0.08413771978768694
tinynuke,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15713672113418575,0.12108266926781974
vawtrak,0.8576666666666666,0.03303365287433744,0.847698436521527,0.03661979226644864,0.9096144975046643,0.03805514578392974,0.7953333333333333,0.050776197398212305,0.08000000000000002,0.03614784456460256,0.7953333333333333,0.050776197398212305,0.2395087838967642,0.06412812188964442
vidro,0.957,0.018284784202536628,0.9587865666880931,0.016762246604084926,0.9265683664988793,0.03031570191973445,0.994,0.01171893055416464,0.08000000000000002,0.03614784456460256,0.994,0.01171893055416464,0.20892569104830422,0.09188591931909199
virut,0.8346666666666668,0.040639335077675115,0.8180167264186463,0.04890177409040067,0.9042491443295736,0.04152903573971684,0.7493333333333332,0.06627887211539502,0.08000000000000002,0.03614784456460256,0.7493333333333332,0.06627887211539502,0.2778888711134593,0.054044360922389845
zeus-newgoz,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.15681584803263343,0.12077309916765513
zloader,0.9599999999999999,0.01807392228230127,0.9618247416189062,0.01647783536106226,0.9269367493201593,0.030233398843243286,1.0,0.0,0.08000000000000002,0.03614784456460256,1.0,0.0,0.1608750032583872,0.12127619309808434
